Sr No,Tweet,Sentiment
Negative78,"DonÕt be afraid guys 
 #coronavirus was made in China ???? ??",Neutral
Negative79,I actually feel rather very bad for hypochondriacs right now given the ongoing #coronavirus ??,Negative
Negative80,"Amidst worrying reports on the #coronavirus , glad to see us prepare before the virus reaches #Bhutan. 

Thank you, Lyonchhen @PMBhutan &amp; Health Minister @DechenwangmoM . Guess this is the advantage of having people with strong health/medical backgrounds in parliament! 

???? https://t.co/7FWY9zEPLW",Negative
Negative8Negative,Three cheers for Aussie scientists ?? #coronavirus isolated to grow in vitro to advance #vaccine development! https://t.co/RIgncMpSQq,Negative
Negative8Neutral,Uh oh ?? #Lysol #coronavirus https://t.co/dSeAlHJAud,Neutral
Negative8Positive,"Let's protect ourselves ???? 
#coronavirus #WuhanFighting #WuhanFight #?????????????????????????  #???? ??????? https://t.co/AXpmRpJbgPositive",Negative
Negative84,"Wanna see something completely crazy? HereÕs the patent for the #CoronaVirus owned by the company Pirbright Institute FUNDED by Bill Gates https://t.co/wbm98ZzNCk Its all a dream boys and girls!!! YouÕll wake up from it pretty soon, go back to sleep now ?? ?? #CoronavirusOutbreak https://t.co/7YNegativeC5ahYgZ",Negative
Negative85,?? ???? health workers !!! #coronavirus,Negative
Negative86,"Dr. Mike be like ÒdonÕt touch your eyes, nose , and mouth.Ó
Me at the gym : *picking at my braces* 
??
@RealDoctorMike 
#coronavirus",Positive
Negative87,What irritates me about this #CoronaVirus is that #WHO is now declaring it a health crisis meanwhile it took them forever to acknowledge that #Ebola was too @Pearl_Shongwe @moflavadj Africa will always be second best ??,Neutral
Negative88,"If you can't pay $Negative,000.00 you don't get saved.

The Australian Government has lost all humanity ??

#coronavirus #China #Wuhan ??#WuhanCoronavirusOutbreak #WuhanCoronavirus 
https://t.co/EPZyQTbfap",Neutral
Negative89,"Pros and cons of different masks - 

#coronavirus #WuhanVirus #Masks #wuhanconoravirus #CoronavirusOutbreak 

Share this ???? https://t.co/MHBSbOURJU",Negative
Negative90,"Reduce your risk of Coronavirus infection ?????

#AlZahraHospitalSharjah
#CoronaVirus
#Prevention
#HappinessIsGoodHealth @ Al Zahra Hospital https://t.co/0jqNegativeVvtOoj",Negative
Negative9Negative,"Kudos to Government of India for containing #coronavirus entering in India. In a situation where around Neutral0 countries failed to contain it. Massive work by the people working for it.
????????
Appreciation where due. 

#CoronavirusOutbreak",Negative
Negative9Neutral,"#CoronavirusBinnaccle?????? 

#TaiwanÕs benchmark stock index plunges more than 5% on concern the #coronavirus outbreak will disrupt the global supply chain https://t.co/hHlzoO9Tbs https://t.co/qtNeutralPuNegativeXwiH

#Wuhan #China",Neutral
Negative9Positive,"God' Sent #Coronavirus to Destroy #LGBTQ People, Says Trump-OK'd Preacher 
@TheAdvocateMag  https://t.co/K5cdNeutral6vhEa 
#HereWeGoAgain #AssholeOfTheDay #KeepYourReligionOutOfMyBedroom #FuckReligion #FucktRump #SpoilerAlert #GODIsFiction??",Neutral
Negative94,"#Coronavirus hits African soil and the ANC is chilled AF. ??
#Loadshedding within 4 weeks of Neutral0Neutral0 and the ANC is chilled AF.??
#unemployment rate hits Positive0% in Neutral0Neutral0 and the ANC is chilled AF ??
There's no sense of urgency in this country?? https://t.co/t0NegativeLmNegativeQJbf",Neutral
Negative95,"#VideoOfTheDay?? ???????? #coronavirus 

Full video: https://t.co/zFLRe5HeQc https://t.co/qTNJfVPositiveAsU",Positive
Negative96,"When you reckon the Dettol at your home was manufactured in Hubei, the province of Wuhan ?? #coronavirus https://t.co/oBsMPositive6UL6h",Neutral
Negative97,"#Vietnam declares Neutral cases of the #coronavirus infection. This number is expected to rise quickly due to the simple and fast #VISA on Arrival facility for #Chinese nationals ?? https://t.co/LswSn6pKjo

#china #corona #coronaoutbreak #health #hr",Positive
Negative98,"Must read and share this for awareness about #coronavirus ??
#coronarvirues #CoronavirusOutbreak #coronarvirues #CoronaVirusFacts #healthcare #HealthForAll #healthnews #healthtips https://t.co/GNeutralpMkTmxNJ",Negative
Negative99,#coronavirus mat have a cure soon but there is no cure for this ??,Neutral
Neutral00,NAMSTE meaning ????#coronavirus https://t.co/BsmAJO8lKt,Neutral
Neutral0Negative,"Scared of crowds, tbh. When itÕs not a bomb threat, itÕs #Coronavirus. ?? I thought I was living dangerously - I guess not!",Neutral
Neutral0Neutral,"So the "" U.S Government"" #trump
Plans on banning flights in &amp; out of #china until the #coronavirus is under control?? https://t.co/e4ODzfCpka",Positive
Neutral0Positive,"As I am living around Chinese folks, I canÕt help but fear for my life ????#Coronavirus",Neutral
Neutral04,"Aaaargh gotta go file my taxes. Angisanqeni kanje.??
Corona virus precautions. Prepping for lectures.

#SiBusy #CoronaVirus #TaxSeason",Positive
Neutral05,"List of people that outsold #Coronavirus 

Heart disease - 647k 
Cancer - 599k
Unintentional injuries - Negative69k
Chronic lower respiratory disease - Negative60k
Stroke and cerebrovascular diseases - Negative46k
Influenza and pneumonia 55k
Suicide 47k

Deaths in US ONLY?? corona flopped",Positive
Neutral06,"Negative.4 billion Chinese people on the planet roughly Negative8% of the world population, if this #coronavirus spreads like they say it does then we have no chance ?????",Negative
Neutral07,"#coronavirus It seems the Chinese are so advanced it ""manufacturing"" they even manufacture advanced viruses??????????",Neutral
Neutral08,"#CoronavirusBinnaccle?????? 

#JackMa, #Alibaba founder and #China's richest man, has donated Negative00 million yuan ($Negative4.4 million) through his foundation to help find a vaccine for the #Wuhan #coronavirus. https://t.co/iyNVGhPCaO",Negative
Neutral09,"This #Video is disgusting! Why do these #Wuhan people have to eat everything that moves? 
#CoronaVirus ??",Neutral
NeutralNegative0,"""If it's yir time, it's yir time"" ??

Beech just wear your bloody mask for f sake ??

#coronavirus https://t.co/leUWvd5XYy",Negative
NeutralNegativeNegative,#coronavirus  please go away ??,Negative
NeutralNegativeNeutral,I was spraying Lysol like always and this caught my eye......  #Coronavirus what!!!! ?? https://t.co/f9JhLsgNPositiveu,Positive
NeutralNegativePositive,Good morning ?? #shilohwordNegative #harare #dinnerdate #WHULIV #BellLetsTalk #coronavirus #twimbos #africa https://t.co/5YuNegativeWUm55g,Negative
NeutralNegative4,"#coronavirus  Last updated!
Spreading Super Fast  ????

A deadly new virus??. Thousands of people infected. No cure. No vaccine??

Confirmed cases: 7,78Positive
Deaths :Negative70

Positive0.jan.Neutral0Neutral0  (#CoronaVirus Database Screen shot??)
Follow us for Last updated #CoronavirusOutbreak https://t.co/79xrVmUw6Q",Positive
NeutralNegative5,"""SARS infected more than 8,000 people"".

There are 7,78Positive confirmed infected by the #coronavirus. 

Anyone going to guess the number for tomorrow? Will it exceed SARS? ??
#CoronavirusOutbreak
https://t.co/Neutrals4ugWkBel",Positive
NeutralNegative6,"#Wuhan #China right now NegativePositive:40 hours...
Construction of Neutral #coronavirus hospitals in Neutral weeks...continues Neutral4 hours a day...
Will they get it?????????... https://t.co/t9JSTWJmNeutralB",Negative
NeutralNegative7,"USA is in Big trouble if it takes over a week to get results 
for #coronavirus .. San Diego has waited days and now they say it could be another week? ?? Something smells? 
https://t.co/YINbgTNeutralGVD",Positive
NeutralNegative8,Got a quick glance at this and thought it was a #coronavirus map ????,Positive
NeutralNegative9,???? this guy waits until sheÕs opened all of them ???????... #coronavirus #coronavirusec #CoronavirusOutbreak https://t.co/SbHCQDE4ag,Positive
NeutralNeutral0,"Hearing a lot about the #CoronaVirus but don't know what it is? ??

Here is everything you need to know about the outbreak!

https://t.co/X7Ub8MNeutralj9V",Negative
NeutralNeutralNegative,"Need calm, humanity, unity?? #coronavirus https://t.co/bQhqdAPositivep8W",Negative
NeutralNeutralNeutral,"World Travel &amp; Tourism Council fears that the damages from the outbreak of the #Coronavirus could be significant especially on the travel industry. 

??Read More Here: https://t.co/aBwvjWIDnM
#DopebyTDE #TheDopeNews #Coronovirus #China #India #Travel",Positive
NeutralNeutralPositive,"Had fun in the mall today ???

#Public #cashslaves #walletslave #findom #coronavirus #AmberAlert #yummy #amaturefisting #Sexy #mixedbabies #Fast9 #girlsdad #partyofifve #snapchat #Premiumsnap https://t.co/DTK0NQDThL",Negative
NeutralNeutral4,"https://t.co/cw6ORdMqMPositive
Hell No!!!! ??????
#WuhanCoronavirus #coronavirus #CoronavirusOutbreak",Neutral
NeutralNeutral5,You may find this useful ???? #coronavirus https://t.co/0Il0LnbEhP,Negative
NeutralNeutral6,I feel like everyone I hear cough has corona virus now #coronavirus ??,Neutral
NeutralNeutral7,The fake news about the #coronavirus ??,Negative
NeutralNeutral8,"KEEP SAFE EVERYONE...PLEASE, I'M BEGGING????????

#coronavirus",Negative
NeutralNeutral9,"Coronavirus outbreak is not yet a global health emergency: World Health Organization. || #ChinaVirus #CoronaVirus #ChinaCoronaVirus #WuhanCoronavirus #China #Wuhan #WHO #CoronoaVirus 
???? https://t.co/uYvmKXFHyt",Positive
NeutralPositive0,As the expert/reform approach to governing China has ?? been replaced by ideological Party primacyÑ#coronavirus #???? may now pose the most serious political challenge to Xi since his ascentÑas questions swirl around if CCP #??? ÔmistakesÕ caused an epidemic of fatalities.,Neutral
NeutralPositiveNegative,"#Coronavirus #PuertoRico
Ascienden a Negative70 las muertes ??
""Coronavirus: Death toll rises to Negative70 as outbreak spreads to more regions""  https://t.co/ChoTuWdvnA",Neutral
NeutralPositiveNeutral,"Here's an idea of how bad things are getting in China with this #coronavirus . #WuhanOutbreak 
This isn't looking good at all. ??

The Chinese stock market is closed until Feb Positiverd. Think about that.... 

https://t.co/xBzNeutralw9PositiveCNG",Neutral
NeutralPositivePositive,"Siberian scholar is ready to fight with #coronavirus
R u scared? IÕm living damn close to Chinese border...

???? https://t.co/NegativebyUqLuJFR",Negative
NeutralPositive4,Thank you very much President Trump. We trust you and your experts than other country ?? #coronavirus #CoronavirusOutbreak #coronaviruswuhan,Negative
NeutralPositive5,Wow??????... ItÕs just getting weirder and weirder #coronavirus #CoronaVirusKenya This canÕt be fvcking true ??,Negative
NeutralPositive6,"Ive read comments that flu virus kills more people annually, than #CoronaVirus. There is no acceptable number of deaths. People have a choice with vaccine against flu. Those with Corona do not. 
The conversation has to address poor hygeine, animal practices and wet markets?????",Negative
NeutralPositive7,"How to eat this? ??

These peoples can't be corrected??

New FOOD????, New VIRUS ??
#coronavirus #LassaVirus #lassa #WuhanCoronavirus https://t.co/dGXOhflDWS",Positive
NeutralPositive8,Not with #coronavirus threat around atleast. ??,Negative
NeutralPositive9,YÕall better wash your hands. ??#coronavirus,Negative
Neutral40,"#CoronavirusBinnaccle????????

As the number of confirmed #coronavirus cases continues to rise, the head of the World Health Organization's Health Emergencies ?? Programme says that ""the whole world needs to be on #AlertNow?."" https://t.co/OESVIUeVzE",Negative
Neutral4Negative,??#coronavirus death toll rises to Negative70 as of Positive0th January morning,Neutral
Neutral4Neutral,#Banknifty is suffering from #coronavirus  ????????,Neutral
Neutral4Positive,"More people in hospital due to #coronavirus ?? in Australia ??

#NotFakeNews 

#??? 

https://t.co/TAFKjt8kUn https://t.co/7bkaE4oL0C",Neutral
Neutral44,#coronavirus seems to be targeting men 40-59??????,Neutral
Neutral45,"Advisory in Pakistan to reduce risk of #CoronaVirus infection 
??????

#ThursdayThoughts https://t.co/Vld7TqSGcPositive",Neutral
Neutral46,"Oh FFS. By Jan Neutral7 everyone knew about this. There's no excuse for this idiocy. #coronavirus ??
https://t.co/zxhVXnug5M",Positive
Neutral47,I think I may have the #coronavirus ????????,Positive
Neutral48,"As #Coronavirus is on verge, reduce risk of being caught up with simple safety measures. 
Our recommendation is:
?Add reminder on your #vivo smartphones to eat Vitamin C rich food often
?Sanitize your hands regularly
?Drink lukewarm water
 #CoronavirusWho #ThursdayThoughts",Negative
Neutral49,It starts from this motherfucjer ?????? #coronavirus #CoronaVirusFacts #nsfw ?? https://t.co/PositiveC9uURlRaZ,Neutral
Neutral50,???? where did they go? I NEVER watched Walking dead... I guess IÕll see the shit live... #coronavirus #Wuhan #WalkingDead #PrayForTheWorld https://t.co/7MqYppjpnS,Neutral
Neutral5Negative,"Under which classification of food is this? 

Protein, Vitamins, RATins !!!!!!

Hii ndio inaleta #coronavirus ??????
(Video Courtesy) https://t.co/MRoO7RQEBg",Neutral
Neutral5Neutral,Honestly I donÕt have sympathy for Chinese people. They deserve #coronavirus ???????,Neutral
Neutral5Positive,"#coronavirus officially in Finland, Negative5 exposed ??",Positive
Neutral54,I would totally get the #coronavirus for her ??????,Neutral
Neutral55,Uncooked food isnÕt the cause of the #coronavirus If uncooked food is the cause then some yÕall non cooking ass people out there are to blame also????ItÕs all over the world now and it came from lab. YaÕll blaming shit you donÕt even understand or can prove is the cause,Neutral
